1	2	3	4	5	6	7	8	9	e5812	e5878	
Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Hexapoda	Insecta	Pterygota	otu_1223	Drosophila melanogaster (fruit fly)	620	80	
Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Hexapoda	Insecta	Pterygota	otu_1223	Tribolium castaneum (red flour beetle)	101	19	
Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Hexapoda	Insecta	Pterygota	otu_1223	Lepidophthirus macrorihini	467	60	
Eukaryota	Metazoa	Ecdysozoa	Nematoda	Chromadorea	Ascaridida	Ascaridoidea	otu_1239	Toxocara canis (dog roundworm)	642	116	
Eukaryota	Metazoa	Ecdysozoa	Nematoda	Chromadorea	Tylenchida	Tylenchina	otu_1295	Globodera pallida	915	86	
Eukaryota	Metazoa	Platyhelminthes	Cestoda	Cestodaria	Amphilinidea	Schizochoeridae	otu_1614	Schizocoerus liguloideus	3	0	
Eukaryota	Metazoa	Platyhelminthes	Cestoda	Eucestoda	Cyclophyllidea	Anoplocephalidae	otu_1625	Moniezia benedeni	10	9	
Eukaryota	Metazoa	Platyhelminthes	Cestoda	Eucestoda	Cyclophyllidea	Anoplocephalidae	otu_1625	Moniezia benedeni	9	3	
Eukaryota	Metazoa	Platyhelminthes	Cestoda	Eucestoda	Cyclophyllidea	Dipylidiidae	otu_1628	Dipylidium caninum	7	0	
Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia		otu_2309	Pyropia pseudolinearis	2	0	
Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	samples	otu_2982	uncultured Dunaliellaceae	1595	249	
Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	samples	otu_2982	uncultured Dunaliellaceae	309	16	
Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlorochytrium			otu_3012	Chlorochytrium sp. ACKU 222	2	1	
Eukaryota	Viridiplantae	Streptophyta	Embryophyta	Tracheophyta	Spermatophyta	Magnoliophyta	otu_3334	Eucalyptus grandis	415	113	
Eukaryota	Amoebozoa	Discosea	Longamoebia	Centramoebida	Acanthamoebidae	Acanthamoeba	otu_353	Acanthamoeba lenticulata	4	0	
Eukaryota	Viridiplantae	Streptophyta	Embryophyta	Tracheophyta	Spermatophyta	Magnoliophyta	otu_3334	Nelumbo nucifera	2	0	
