1	2	3	4	5	6	7	8	PapBSCn2Kr02	PapBSCn1Kr02	PapBSCn1Ms17	PapBSCn3Ms17	PapBSCn2Ms17	PapBSCn3Kr02	PapBSSc1Mer5	PapBSAp1Mer1	PapBSXt1Mer2	PapBSAp1Mer2	PapBSAp1Mer5	PapBSXt2Mer1	PapBSSc1Mer1	PapBSSc1Mer2	PapBSXt1Mer5	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			New.CleanUp.ReferenceOTU2	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			New.CleanUp.ReferenceOTU5	117	141	118	45	46	4	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			New.CleanUp.ReferenceOTU8	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria					New.CleanUp.ReferenceOTU9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Acidobacteria	Sva0725	Sva0725				New.CleanUp.ReferenceOTU11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus		New.CleanUp.ReferenceOTU14	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria					New.CleanUp.ReferenceOTU15	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU17	0	6	1	2	0	1	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU21	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	OM60			New.CleanUp.ReferenceOTU22	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			New.CleanUp.ReferenceOTU23	1	2	2	8	11	10	0	0	0	0	0	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU24	0	0	0	0	0	0	0	8	10	13	3	2	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			New.CleanUp.ReferenceOTU25	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus		New.CleanUp.ReferenceOTU26	2	2	13	56	69	26	1	0	0	0	1	0	5	17	0	
Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NB1-i			New.CleanUp.ReferenceOTU27	0	0	0	0	0	0	85	0	0	0	0	0	17	23	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales				New.CleanUp.ReferenceOTU34	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae			New.CleanUp.ReferenceOTU37	0	0	0	0	0	0	0	210	25	23	250	8	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera		New.CleanUp.ReferenceOTU38	0	0	0	0	2	4	3	0	0	0	0	0	2	11	0	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				New.CleanUp.ReferenceOTU39	0	0	8	30	24	7	3	0	0	0	0	0	0	1	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU42	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	
Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales				New.CleanUp.ReferenceOTU46	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	OM27			New.CleanUp.ReferenceOTU47	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			New.CleanUp.ReferenceOTU49	0	4	0	0	10	37	0	0	0	0	0	0	0	1	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus		New.CleanUp.ReferenceOTU52	0	1	29	69	79	31	0	1	0	1	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU53	343	219	34	173	209	60	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			New.CleanUp.ReferenceOTU54	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales				New.CleanUp.ReferenceOTU55	0	4	0	0	2	4	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales				New.CleanUp.ReferenceOTU58	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae			New.CleanUp.ReferenceOTU60	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria					New.CleanUp.ReferenceOTU63	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU64	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae			New.CleanUp.ReferenceOTU66	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales				New.CleanUp.ReferenceOTU69	11	38	15	0	0	0	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU74	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU75	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria					New.CleanUp.ReferenceOTU77	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales				New.CleanUp.ReferenceOTU78	0	0	0	10	27	3	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria					New.CleanUp.ReferenceOTU80	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				New.CleanUp.ReferenceOTU81	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU89	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria					New.CleanUp.ReferenceOTU94	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus		New.CleanUp.ReferenceOTU97	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU98	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			New.CleanUp.ReferenceOTU100	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales				New.CleanUp.ReferenceOTU101	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	HTCC2188	HTCC2089			New.CleanUp.ReferenceOTU102	0	0	0	0	0	0	0	42	8	0	4	4	0	0	2	
Bacteria	Cyanobacteria	Synechococcophycideae	Pseudanabaenales	Pseudanabaenaceae			New.CleanUp.ReferenceOTU103	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales				New.CleanUp.ReferenceOTU105	0	0	0	0	0	0	0	25	3	3	4	2	0	0	1	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU107	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	TK06			New.CleanUp.ReferenceOTU108	0	0	0	0	0	0	0	4	7	0	0	2	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU109	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU110	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			New.CleanUp.ReferenceOTU112	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU113	0	0	0	0	0	0	0	0	4	0	1	4	0	0	1	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ntu14			New.CleanUp.ReferenceOTU116	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	wb1_P06			New.CleanUp.ReferenceOTU117	0	0	0	0	0	0	0	2	2	0	1	4	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU118	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus		New.CleanUp.ReferenceOTU122	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales				New.CleanUp.ReferenceOTU123	0	1	0	5	1	3	0	0	0	0	0	0	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU124	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae			New.CleanUp.ReferenceOTU125	0	0	0	0	0	0	413	0	0	0	0	0	41	150	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae			New.CleanUp.ReferenceOTU130	1	0	0	0	5	11	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			New.CleanUp.ReferenceOTU131	7	8	7	28	37	3	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU133	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae			New.CleanUp.ReferenceOTU134	0	0	0	3	12	3	0	0	0	0	0	0	1	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			New.CleanUp.ReferenceOTU138	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	
